Detector Box : [0, 470, 83, 424] class_name: person, Confidence: 0.873573899269104
Detector Box : [0, 476, 51, 418] class_name: person, Confidence: 0.736679196357727
Detector Box : [0, 608, 38, 93] class_name: person, Confidence: 0.692409336566925
Detector Box : [0, 488, 24, 225] class_name: person, Confidence: 0.4582822024822235
Detector Box : [0, 504, 82, 315] class_name: person, Confidence: 0.7726660966873169
Detector Box : [0, 529, 262, 379] class_name: person, Confidence: 0.9354628920555115
Detector Box : [280, 524, 247, 391] class_name: person, Confidence: 0.9266654849052429
Detector Box : [675, 540, 191, 395] class_name: person, Confidence: 0.893142819404602
Detector Box : [815, 494, 426, 293] class_name: person, Confidence: 0.8945644497871399
Detector Box : [1193, 463, 240, 211] class_name: person, Confidence: 0.8939701914787292
Detector Box : [1426, 505, 224, 425] class_name: person, Confidence: 0.8844301104545593
Detector Box : [1502, 562, 205, 368] class_name: person, Confidence: 0.9155159592628479
Detector Box : [1519, 486, 170, 444] class_name: person, Confidence: 0.9089504480361938
Detector Box : [1505, 476, 149, 458] class_name: person, Confidence: 0.9108331799507141
Detector Box : [1459, 472, 170, 464] class_name: person, Confidence: 0.92359459400177
Detector Box : [1426, 466, 222, 486] class_name: person, Confidence: 0.9314942955970764
Detector Box : [1344, 471, 279, 495] class_name: person, Confidence: 0.9227606654167175
Detector Box : [1314, 465, 291, 503] class_name: person, Confidence: 0.925183892250061
Detector Box : [1260, 473, 271, 497] class_name: person, Confidence: 0.9258763194084167
Detector Box : [1204, 461, 214, 510] class_name: person, Confidence: 0.9255719184875488
Detector Box : [1084, 469, 254, 516] class_name: person, Confidence: 0.923809826374054
Detector Box : [1031, 453, 172, 537] class_name: person, Confidence: 0.8805553317070007
Detector Box : [894, 466, 270, 522] class_name: person, Confidence: 0.9348369836807251
Detector Box : [840, 454, 186, 540] class_name: person, Confidence: 0.9147716760635376
Detector Box : [755, 460, 193, 541] class_name: person, Confidence: 0.930417001247406
Detector Box : [661, 464, 231, 530] class_name: person, Confidence: 0.9381144046783447
Detector Box : [0, 470, 83, 424] class_name: person, Confidence: 0.873573899269104
Detector Box : [0, 476, 51, 418] class_name: person, Confidence: 0.736679196357727
Detector Box : [0, 608, 38, 93] class_name: person, Confidence: 0.692409336566925
Detector Box : [0, 488, 24, 225] class_name: person, Confidence: 0.4582822024822235
Detector Box : [0, 504, 82, 315] class_name: person, Confidence: 0.7726660966873169
Detector Box : [0, 529, 262, 379] class_name: person, Confidence: 0.9354628920555115
Detector Box : [280, 524, 247, 391] class_name: person, Confidence: 0.9266654849052429
Detector Box : [675, 540, 191, 395] class_name: person, Confidence: 0.893142819404602
Detector Box : [815, 494, 426, 293] class_name: person, Confidence: 0.8945644497871399
Detector Box : [1193, 463, 240, 211] class_name: person, Confidence: 0.8939701914787292
Detector Box : [1426, 505, 224, 425] class_name: person, Confidence: 0.8844301104545593
Detector Box : [1502, 562, 205, 368] class_name: person, Confidence: 0.9155159592628479
Detector Box : [1519, 486, 170, 444] class_name: person, Confidence: 0.9089504480361938
Detector Box : [1505, 476, 149, 458] class_name: person, Confidence: 0.9108331799507141
Detector Box : [1459, 472, 170, 464] class_name: person, Confidence: 0.92359459400177
Detector Box : [1426, 466, 222, 486] class_name: person, Confidence: 0.9314942955970764
Detector Box : [1344, 471, 279, 495] class_name: person, Confidence: 0.9227606654167175
Detector Box : [1314, 465, 291, 503] class_name: person, Confidence: 0.925183892250061
Detector Box : [1260, 473, 271, 497] class_name: person, Confidence: 0.9258763194084167
Detector Box : [1204, 461, 214, 510] class_name: person, Confidence: 0.9255719184875488
Detector Box : [1084, 469, 254, 516] class_name: person, Confidence: 0.923809826374054
Detector Box : [1031, 453, 172, 537] class_name: person, Confidence: 0.8805553317070007
Detector Box : [894, 466, 270, 522] class_name: person, Confidence: 0.9348369836807251
Detector Box : [840, 454, 186, 540] class_name: person, Confidence: 0.9147716760635376
Detector Box : [755, 460, 193, 541] class_name: person, Confidence: 0.930417001247406
Detector Box : [661, 464, 231, 530] class_name: person, Confidence: 0.9381144046783447
Detector Box : [0, 470, 83, 424] class_name: person, Confidence: 0.873573899269104
Detector Box : [0, 476, 51, 418] class_name: person, Confidence: 0.736679196357727
Detector Box : [0, 608, 38, 93] class_name: person, Confidence: 0.692409336566925
Detector Box : [0, 488, 24, 225] class_name: person, Confidence: 0.4582822024822235
Detector Box : [0, 504, 82, 315] class_name: person, Confidence: 0.7726660966873169
Detector Box : [0, 529, 262, 379] class_name: person, Confidence: 0.9354628920555115
Detector Box : [280, 524, 247, 391] class_name: person, Confidence: 0.9266654849052429
Detector Box : [675, 540, 191, 395] class_name: person, Confidence: 0.893142819404602
Detector Box : [815, 494, 426, 293] class_name: person, Confidence: 0.8945644497871399
Detector Box : [1193, 463, 240, 211] class_name: person, Confidence: 0.8939701914787292
Detector Box : [1426, 505, 224, 425] class_name: person, Confidence: 0.8844301104545593
Detector Box : [1502, 562, 205, 368] class_name: person, Confidence: 0.9155159592628479
Detector Box : [1519, 486, 170, 444] class_name: person, Confidence: 0.9089504480361938
Detector Box : [1505, 476, 149, 458] class_name: person, Confidence: 0.9108331799507141
Detector Box : [1459, 472, 170, 464] class_name: person, Confidence: 0.92359459400177
Detector Box : [1426, 466, 222, 486] class_name: person, Confidence: 0.9314942955970764
Detector Box : [1344, 471, 279, 495] class_name: person, Confidence: 0.9227606654167175
