Crop Inputs Box: [x=0, y=470, w=83, h=424], confidence: 0.87
Crop Inputs Box: [x=0, y=476, w=51, h=418], confidence: 0.74
Crop Inputs Box: [x=0, y=476, w=51, h=418], confidence: 0.74
Crop Inputs Box: [x=0, y=476, w=51, h=418], confidence: 0.74
Crop Inputs Box: [x=0, y=476, w=51, h=418], confidence: 0.74
Crop Inputs Box: [x=0, y=476, w=51, h=418], confidence: 0.74
Crop Inputs Box: [x=0, y=476, w=51, h=418], confidence: 0.74
Crop Inputs Box: [x=0, y=476, w=51, h=418], confidence: 0.74
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=470, w=83, h=424], confidence: 0.87
Crop Inputs Box: [x=0, y=476, w=51, h=418], confidence: 0.74
Crop Inputs Box: [x=0, y=476, w=51, h=418], confidence: 0.74
Crop Inputs Box: [x=0, y=476, w=51, h=418], confidence: 0.74
Crop Inputs Box: [x=0, y=476, w=51, h=418], confidence: 0.74
Crop Inputs Box: [x=0, y=476, w=51, h=418], confidence: 0.74
Crop Inputs Box: [x=0, y=476, w=51, h=418], confidence: 0.74
Crop Inputs Box: [x=0, y=476, w=51, h=418], confidence: 0.74
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=470, w=83, h=424], confidence: 0.87
Crop Inputs Box: [x=0, y=476, w=51, h=418], confidence: 0.74
Crop Inputs Box: [x=0, y=476, w=51, h=418], confidence: 0.74
Crop Inputs Box: [x=0, y=476, w=51, h=418], confidence: 0.74
Crop Inputs Box: [x=0, y=476, w=51, h=418], confidence: 0.74
Crop Inputs Box: [x=0, y=476, w=51, h=418], confidence: 0.74
Crop Inputs Box: [x=0, y=476, w=51, h=418], confidence: 0.74
Crop Inputs Box: [x=0, y=476, w=51, h=418], confidence: 0.74
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=504, w=82, h=315], confidence: 0.77
Crop Inputs Box: [x=0, y=202, w=12, h=31], confidence: 0.51
Crop Inputs Box: [x=0, y=202, w=12, h=31], confidence: 0.51
Crop Inputs Box: [x=0, y=202, w=12, h=31], confidence: 0.51
Crop Inputs Box: [x=0, y=202, w=12, h=31], confidence: 0.51
