CropCalc Box: [x=625, y=0, w=607, h=1080]
CropCalc Box: [x=0, y=0, w=607, h=1080]
CropCalc Box: [x=0, y=0, w=607, h=1080]
CropCalc Box: [x=0, y=0, w=607, h=1080]
CropCalc Box: [x=0, y=0, w=607, h=1080]
CropCalc Box: [x=0, y=0, w=607, h=1080]
CropCalc Box: [x=0, y=0, w=607, h=1080]
CropCalc Box: [x=0, y=0, w=607, h=1080]
CropCalc Box: [x=0, y=0, w=607, h=1080]
CropCalc Box: [x=0, y=0, w=607, h=1080]
CropCalc Box: [x=62, y=0, w=607, h=1080]
CropCalc Box: [x=428, y=0, w=607, h=1080]
CropCalc Box: [x=693, y=0, w=607, h=1080]
CropCalc Box: [x=719, y=0, w=607, h=1080]
CropCalc Box: [x=1181, y=0, w=607, h=1080]
CropCalc Box: [x=1286, y=0, w=607, h=1080]
CropCalc Box: [x=1297, y=0, w=607, h=1080]
CropCalc Box: [x=1278, y=0, w=607, h=1080]
CropCalc Box: [x=1246, y=0, w=607, h=1080]
CropCalc Box: [x=1236, y=0, w=607, h=1080]
CropCalc Box: [x=1187, y=0, w=607, h=1080]
CropCalc Box: [x=1163, y=0, w=607, h=1080]
CropCalc Box: [x=1095, y=0, w=607, h=1080]
CropCalc Box: [x=1013, y=0, w=607, h=1080]
CropCalc Box: [x=914, y=0, w=607, h=1080]
CropCalc Box: [x=824, y=0, w=607, h=1080]
CropCalc Box: [x=759, y=0, w=607, h=1080]
CropCalc Box: [x=646, y=0, w=607, h=1080]
CropCalc Box: [x=635, y=0, w=607, h=1080]
CropCalc Box: [x=634, y=0, w=607, h=1080]
CropCalc Box: [x=0, y=0, w=607, h=1080]
CropCalc Box: [x=0, y=0, w=607, h=1080]
CropCalc Box: [x=0, y=0, w=607, h=1080]
CropCalc Box: [x=0, y=0, w=607, h=1080]
CropCalc Box: [x=0, y=0, w=607, h=1080]
CropCalc Box: [x=418, y=0, w=607, h=1080]
CropCalc Box: [x=488, y=0, w=607, h=1080]
CropCalc Box: [x=495, y=0, w=607, h=1080]
CropCalc Box: [x=496, y=0, w=607, h=1080]
CropCalc Box: [x=496, y=0, w=607, h=1080]
CropCalc Box: [x=496, y=0, w=607, h=1080]
CropCalc Box: [x=496, y=0, w=607, h=1080]
CropCalc Box: [x=496, y=0, w=607, h=1080]
CropCalc Box: [x=496, y=0, w=607, h=1080]
CropCalc Box: [x=496, y=0, w=607, h=1080]
CropCalc Box: [x=489, y=0, w=607, h=1080]
CropCalc Box: [x=545, y=0, w=607, h=1080]
CropCalc Box: [x=568, y=0, w=607, h=1080]
CropCalc Box: [x=640, y=0, w=607, h=1080]
CropCalc Box: [x=669, y=0, w=607, h=1080]
CropCalc Box: [x=699, y=0, w=607, h=1080]
CropCalc Box: [x=698, y=0, w=607, h=1080]
CropCalc Box: [x=671, y=0, w=607, h=1080]
CropCalc Box: [x=647, y=0, w=607, h=1080]
CropCalc Box: [x=606, y=0, w=607, h=1080]
CropCalc Box: [x=566, y=0, w=607, h=1080]
CropCalc Box: [x=531, y=0, w=607, h=1080]
CropCalc Box: [x=465, y=0, w=607, h=1080]
CropCalc Box: [x=433, y=0, w=607, h=1080]
CropCalc Box: [x=397, y=0, w=607, h=1080]
CropCalc Box: [x=353, y=0, w=607, h=1080]
CropCalc Box: [x=348, y=0, w=607, h=1080]
CropCalc Box: [x=347, y=0, w=607, h=1080]
CropCalc Box: [x=347, y=0, w=607, h=1080]
CropCalc Box: [x=344, y=0, w=607, h=1080]
CropCalc Box: [x=347, y=0, w=607, h=1080]
CropCalc Box: [x=342, y=0, w=607, h=1080]
CropCalc Box: [x=337, y=0, w=607, h=1080]
CropCalc Box: [x=335, y=0, w=607, h=1080]
CropCalc Box: [x=357, y=0, w=607, h=1080]
CropCalc Box: [x=356, y=0, w=607, h=1080]
CropCalc Box: [x=360, y=0, w=607, h=1080]
CropCalc Box: [x=360, y=0, w=607, h=1080]
CropCalc Box: [x=358, y=0, w=607, h=1080]
CropCalc Box: [x=397, y=0, w=607, h=1080]
CropCalc Box: [x=424, y=0, w=607, h=1080]
CropCalc Box: [x=444, y=0, w=607, h=1080]
CropCalc Box: [x=451, y=0, w=607, h=1080]
CropCalc Box: [x=484, y=0, w=607, h=1080]
CropCalc Box: [x=512, y=0, w=607, h=1080]
CropCalc Box: [x=525, y=0, w=607, h=1080]
CropCalc Box: [x=525, y=0, w=607, h=1080]
CropCalc Box: [x=528, y=0, w=607, h=1080]
CropCalc Box: [x=539, y=0, w=607, h=1080]
CropCalc Box: [x=554, y=0, w=607, h=1080]
CropCalc Box: [x=549, y=0, w=607, h=1080]
CropCalc Box: [x=551, y=0, w=607, h=1080]
CropCalc Box: [x=555, y=0, w=607, h=1080]
CropCalc Box: [x=558, y=0, w=607, h=1080]
CropCalc Box: [x=545, y=0, w=607, h=1080]
CropCalc Box: [x=549, y=0, w=607, h=1080]
CropCalc Box: [x=567, y=0, w=607, h=1080]
CropCalc Box: [x=589, y=0, w=607, h=1080]
CropCalc Box: [x=602, y=0, w=607, h=1080]
CropCalc Box: [x=599, y=0, w=607, h=1080]
CropCalc Box: [x=563, y=0, w=607, h=1080]
CropCalc Box: [x=525, y=0, w=607, h=1080]
CropCalc Box: [x=492, y=0, w=607, h=1080]
CropCalc Box: [x=501, y=0, w=607, h=1080]
CropCalc Box: [x=520, y=0, w=607, h=1080]
CropCalc Box: [x=543, y=0, w=607, h=1080]
CropCalc Box: [x=554, y=0, w=607, h=1080]
CropCalc Box: [x=551, y=0, w=607, h=1080]
CropCalc Box: [x=544, y=0, w=607, h=1080]
CropCalc Box: [x=546, y=0, w=607, h=1080]
CropCalc Box: [x=546, y=0, w=607, h=1080]
CropCalc Box: [x=545, y=0, w=607, h=1080]
CropCalc Box: [x=545, y=0, w=607, h=1080]
CropCalc Box: [x=548, y=0, w=607, h=1080]
CropCalc Box: [x=541, y=0, w=607, h=1080]
CropCalc Box: [x=538, y=0, w=607, h=1080]
CropCalc Box: [x=542, y=0, w=607, h=1080]
CropCalc Box: [x=542, y=0, w=607, h=1080]
CropCalc Box: [x=539, y=0, w=607, h=1080]
CropCalc Box: [x=528, y=0, w=607, h=1080]
CropCalc Box: [x=492, y=0, w=607, h=1080]
CropCalc Box: [x=498, y=0, w=607, h=1080]
CropCalc Box: [x=497, y=0, w=607, h=1080]
CropCalc Box: [x=502, y=0, w=607, h=1080]
CropCalc Box: [x=529, y=0, w=607, h=1080]
CropCalc Box: [x=556, y=0, w=607, h=1080]
CropCalc Box: [x=589, y=0, w=607, h=1080]
CropCalc Box: [x=593, y=0, w=607, h=1080]
CropCalc Box: [x=589, y=0, w=607, h=1080]
CropCalc Box: [x=582, y=0, w=607, h=1080]
CropCalc Box: [x=584, y=0, w=607, h=1080]
CropCalc Box: [x=585, y=0, w=607, h=1080]
CropCalc Box: [x=580, y=0, w=607, h=1080]
CropCalc Box: [x=582, y=0, w=607, h=1080]
CropCalc Box: [x=587, y=0, w=607, h=1080]
CropCalc Box: [x=592, y=0, w=607, h=1080]
CropCalc Box: [x=592, y=0, w=607, h=1080]
CropCalc Box: [x=590, y=0, w=607, h=1080]
CropCalc Box: [x=583, y=0, w=607, h=1080]
CropCalc Box: [x=604, y=0, w=607, h=1080]
CropCalc Box: [x=581, y=0, w=607, h=1080]
CropCalc Box: [x=576, y=0, w=607, h=1080]
CropCalc Box: [x=567, y=0, w=607, h=1080]
CropCalc Box: [x=576, y=0, w=607, h=1080]
CropCalc Box: [x=568, y=0, w=607, h=1080]
CropCalc Box: [x=561, y=0, w=607, h=1080]
CropCalc Box: [x=526, y=0, w=607, h=1080]
CropCalc Box: [x=516, y=0, w=607, h=1080]
CropCalc Box: [x=519, y=0, w=607, h=1080]
CropCalc Box: [x=529, y=0, w=607, h=1080]
CropCalc Box: [x=495, y=0, w=607, h=1080]
CropCalc Box: [x=486, y=0, w=607, h=1080]
CropCalc Box: [x=470, y=0, w=607, h=1080]
CropCalc Box: [x=438, y=0, w=607, h=1080]
CropCalc Box: [x=382, y=0, w=607, h=1080]
CropCalc Box: [x=368, y=0, w=607, h=1080]
CropCalc Box: [x=326, y=0, w=607, h=1080]
CropCalc Box: [x=291, y=0, w=607, h=1080]
CropCalc Box: [x=277, y=0, w=607, h=1080]
CropCalc Box: [x=281, y=0, w=607, h=1080]
CropCalc Box: [x=284, y=0, w=607, h=1080]
CropCalc Box: [x=292, y=0, w=607, h=1080]
